iter, time, cost, ls_iters, alpha, delta, q_norm, dq_norm, dqH_norm, trust_ratio, grad_norm, dL_dq, h_norm, merit
0, 0.008313313, 2218.762014711441, 0, nan, 0.1, 46.162037433371594, 0.0007287096846992656, 5.604054114516769, 0.9891515670571559, 4849.292126469752, -0.2185584616248455, 6.656564962021299, 2218.762014711441
1, 0.005320366, 1781.2839757007944, 0, nan, 0.2, 46.16207467446769, 0.001390766428590684, 5.779301204145631, 0.9829423351936073, 4115.178663601685, -0.4620463350862052, 5.963244699823708, 1781.2839757007944
2, 0.004973946, 1078.672651991939, 0, nan, 0.4, 46.1621519113418, 0.0027678396249286264, 6.272990375443033, 0.9864689956573222, 3096.479950079981, -1.1482556619422375, 4.637678600265778, 1078.672651991939
3, 0.005443096, 289.23792578557675, 0, nan, 0.8, 46.16230270683936, 0.09840255125346616, 7.4579883816989065, 0.9848661764756572, 2804.4018327990393, -0.7676955846559751, 2.3915192704893613, 289.23792578557675
4, 0.005096987, 161.47356947454205, 0, nan, 1.6, 46.126080879389626, 0.17171789181829497, 17.57835131576918, 0.9079746105819735, 1297.4454139995028, -0.6581432414854432, 1.7790385652479734, 161.47356947454205
5, 0.005330543, 104.52741239676214, 0, nan, 3.2, 46.04795051240169, 0.14768863957190503, 38.95532629826475, -5.281511329875124, 1572.2919758076714, -0.6279470644388202, 1.4237402834682633, 104.52741239676214
6, 0.000505081, 104.52741239676214, 0, nan, 0.8, 46.04795051240169, 0.03687263665150948, 38.95532629826475, 0.9117974465704964, 1572.2919758076714, -0.5384989251937381, 1.4237402834682633, 104.52741239676214
7, 0.0056852, 77.47583033232485, 0, nan, 1.6, 46.03566929043633, 0.06706008148479171, 44.2764029013266, 0.7678526177416515, 813.9549912867285, -0.4372249277475164, 1.2193837750962224, 77.47583033232485
8, 0.005366387, 62.84822752528097, 0, nan, 3.2, 46.00964593340406, 0.12578734395639682, 50.336801730007586, 0.4233965955440858, 994.6117216578641, -0.4374344970724546, 1.0935551521540252, 62.84822752528097
9, 0.005283009, 55.76452930407455, 0, nan, 3.2, 45.95858603719529, 0.10891306132600691, 26.79058226073601, -0.04962628489473965, 760.3454362736449, -0.6266721096139626, 1.0278176637640075, 55.76452930407455
10, 0.000552212, 55.76452930407455, 0, nan, 0.8, 45.95858603719529, 0.027166917018028224, 26.79058226073601, 0.9253736791897806, 760.3454362736449, -0.4959144634891242, 1.0278176637640075, 55.76452930407455
11, 0.00556354, 41.87950466708124, 0, nan, 1.6, 45.95095460766547, 0.05263738736503247, 22.99929927968049, 0.641412914419901, 880.5059706124433, -0.4875988115487864, 0.8827605739776406, 41.87950466708124
12, 0.005378198, 34.02976375082362, 0, nan, 1.6, 45.93853936591974, 0.059502552499421116, 21.86482654260455, 0.8422185698235195, 506.26923245437854, -0.417453415336536, 0.789539538181502, 34.02976375082362
13, 0.005067636, 26.54663248618899, 0, nan, 3.2, 45.918293127735794, 0.11143222529479328, 20.477730616905063, -0.2944797819613098, 547.2791184270376, -0.4963157224459002, 0.6888811323106505, 26.54663248618899
14, 0.00053376, 26.54663248618899, 0, nan, 0.8, 45.918293127735794, 0.027832212281169565, 20.477730616905063, 0.9338557962308852, 547.2791184270376, -0.3146107911199493, 0.6888811323106505, 26.54663248618899
15, 0.005300211, 21.925624008484668, 0, nan, 1.6, 45.90734832962269, 0.06061237929945651, 21.13797026519486, 0.8462911748038296, 349.3367628657521, -0.3426148427191292, 0.6184673024232189, 21.925624008484668
16, 0.005247182, 17.750341240358818, 0, nan, 3.2, 45.8761057231373, 0.2033918113721663, 21.47436933920177, -170.1372889599274, 380.5485213876837, -0.41542259743075416, 0.5473520150217109, 17.750341240358818
17, 0.000550381, 17.750341240358818, 0, nan, 0.8, 45.8761057231373, 0.0508415125963901, 21.47436933920177, 1.1309469015846536, 380.5485213876837, -0.2452959624837178, 0.5473520150217109, 17.750341240358818
18, 0.005282623, 14.740278319696195, 0, nan, 1.6, 45.848435425580476, 0.09904878291318273, 33.37303573795384, -57.84721764480938, 255.78126580081556, -0.25327225357475047, 0.48961272130717864, 14.740278319696195
19, 0.000704419, 14.740278319696195, 0, nan, 0.4, 45.848435425580476, 0.024757199841666005, 33.37303573795384, 1.0625021513839086, 255.78126580081556, -0.1987935313058614, 0.48961272130717864, 14.740278319696195
20, 0.005296164, 13.043137161782033, 0, nan, 0.8, 45.83681605193839, 0.03724500952434424, 37.915938503581394, -0.14866311334045648, 306.188081247762, -0.19702568798643252, 0.45390384439764525, 13.043137161782033
21, 0.000664436, 13.043137161782033, 0, nan, 0.2, 45.83681605193839, 0.009307325598976113, 37.915938503581394, 1.0104985992718114, 306.188081247762, -0.17302219197347096, 0.45390384439764525, 13.043137161782033
